Lineage,Days,England,Scotland,Wales,Northern Ireland
UK4,2020-03-27,1,0,0,0
UK4,2020-03-28,3,0,0,0
UK4,2020-03-28,3,0,0,0
UK4,2020-03-28,3,0,0,0
UK4,2020-03-29,2,0,0,0
UK4,2020-03-29,2,0,0,0
UK4,2020-03-30,3,0,0,0
UK4,2020-03-30,3,0,0,0
UK4,2020-03-30,3,0,0,0
UK4,2020-03-31,2,0,0,0
UK4,2020-03-31,2,0,0,0
UK4,2020-04-01,3,0,0,0
UK4,2020-04-01,3,0,0,0
UK4,2020-04-01,3,0,0,0
UK4,2020-04-03,3,0,0,0
UK4,2020-04-03,3,0,0,0
UK4,2020-04-03,3,0,0,0
UK4,2020-04-05,1,0,0,0
UK4,2020-04-07,2,0,0,0
UK4,2020-04-07,2,0,0,0
UK4,2020-04-09,1,0,0,0
UK4,2020-04-10,1,0,0,0
UK4,2020-04-11,1,0,0,0
UK4,2020-04-13,1,0,0,0
UK4,2020-04-16,1,0,0,0
UK4,2020-04-17,1,0,0,0
UK4,2020-04-20,4,0,0,0
UK4,2020-04-20,4,0,0,0
UK4,2020-04-20,4,0,0,0
UK4,2020-04-20,4,0,0,0
UK4,2020-04-21,1,0,0,0
UK4,2020-04-23,1,0,0,0
UK4,2020-04-25,1,0,0,0
UK4,2020-04-29,7,0,0,0
UK4,2020-04-29,7,0,0,0
UK4,2020-04-29,7,0,0,0
UK4,2020-04-29,7,0,0,0
UK4,2020-04-29,7,0,0,0
UK4,2020-04-29,7,0,0,0
UK4,2020-04-29,7,0,0,0
UK4,2020-04-30,1,0,0,0
UK4,2020-05-01,1,0,0,0
UK277,2020-04-23,7,0,0,0
UK277,2020-04-23,7,0,0,0
UK277,2020-04-23,7,0,0,0
UK277,2020-04-23,7,0,0,0
UK277,2020-04-23,7,0,0,0
UK277,2020-04-23,7,0,0,0
UK277,2020-04-23,7,0,0,0
UK277,2020-04-30,1,0,0,0
UK277,2020-05-04,1,0,0,0
UK225,2020-03-11,1,0,0,0
UK225,2020-03-14,1,0,0,0
UK225,2020-03-16,1,0,0,0
UK225,2020-03-18,1,0,0,0
UK225,2020-03-21,4,0,0,0
UK225,2020-03-21,4,0,0,0
UK225,2020-03-21,4,0,0,0
UK225,2020-03-21,4,0,0,0
UK225,2020-03-22,3,0,0,0
UK225,2020-03-22,3,0,0,0
UK225,2020-03-22,3,0,0,0
UK225,2020-03-23,3,0,0,0
UK225,2020-03-23,3,0,0,0
UK225,2020-03-23,3,0,0,0
UK225,2020-03-24,2,0,0,0
UK225,2020-03-24,2,0,0,0
UK225,2020-03-27,1,0,0,0
UK225,2020-03-28,1,0,0,0
UK225,2020-03-29,1,0,0,0
UK225,2020-03-30,4,0,0,0
UK225,2020-03-30,4,0,0,0
UK225,2020-03-30,4,0,0,0
UK225,2020-03-30,4,0,0,0
UK225,2020-03-31,1,0,0,0
UK225,2020-04-01,3,0,0,0
UK225,2020-04-01,3,0,0,0
UK225,2020-04-01,3,0,0,0
UK225,2020-04-02,2,0,0,0
UK225,2020-04-02,2,0,0,0
UK225,2020-04-03,2,0,0,0
UK225,2020-04-03,2,0,0,0
UK225,2020-04-04,1,0,0,0
UK225,2020-04-05,2,0,0,0
UK225,2020-04-05,2,0,0,0
UK225,2020-04-06,1,0,0,0
UK225,2020-04-07,1,0,0,0
UK225,2020-04-08,1,0,0,0
UK225,2020-04-09,1,0,0,0
UK225,2020-04-11,2,0,0,0
UK225,2020-04-11,2,0,0,0
UK225,2020-04-17,2,0,0,0
UK225,2020-04-17,2,0,0,0
UK225,2020-04-19,2,0,0,0
UK225,2020-04-19,2,0,0,0
UK225,2020-04-21,1,0,0,0
UK225,2020-04-22,6,0,0,0
UK225,2020-04-22,6,0,0,0
UK225,2020-04-22,6,0,0,0
UK225,2020-04-22,6,0,0,0
UK225,2020-04-22,6,0,0,0
UK225,2020-04-22,6,0,0,0
UK225,2020-05-06,1,0,0,0
UK56,2020-04-05,2,0,0,0
UK56,2020-04-05,2,0,0,0
UK56,2020-04-10,1,0,0,0
UK56,2020-04-12,3,0,0,0
UK56,2020-04-12,3,0,0,0
UK56,2020-04-12,3,0,0,0
UK56,2020-04-13,1,0,0,0
UK56,2020-04-27,3,0,0,0
UK56,2020-04-27,3,0,0,0
UK56,2020-04-27,3,0,0,0
UK56,2020-04-28,2,0,0,0
UK56,2020-04-28,2,0,0,0
UK56,2020-04-29,2,0,0,0
UK56,2020-04-29,2,0,0,0
UK56,2020-04-30,2,0,0,0
UK56,2020-04-30,2,0,0,0
UK56,2020-05-02,2,0,0,0
UK56,2020-05-02,2,0,0,0
UK56,2020-05-03,1,0,0,0
UK56,2020-05-04,1,0,0,0
UK56,2020-05-06,1,0,0,0
UK49,2020-03-19,1,0,0,0
UK49,2020-03-24,1,0,0,0
UK49,2020-04-05,1,0,0,0
UK49,2020-04-11,1,0,0,0
UK49,2020-04-28,1,0,0,0
UK49,2020-05-02,1,0,0,0
UK49,2020-05-11,1,0,0,0
UK7,2020-03-19,2,0,0,0
UK7,2020-03-19,2,0,0,0
UK7,2020-03-20,6,0,0,0
UK7,2020-03-20,6,0,0,0
UK7,2020-03-20,6,0,0,0
UK7,2020-03-20,6,0,0,0
UK7,2020-03-20,6,0,0,0
UK7,2020-03-20,6,0,0,0
UK7,2020-03-21,3,0,0,0
UK7,2020-03-21,3,0,0,0
UK7,2020-03-21,3,0,0,0
UK7,2020-03-22,2,0,0,0
UK7,2020-03-22,2,0,0,0
UK7,2020-03-23,1,0,0,0
UK7,2020-03-24,2,0,0,0
UK7,2020-03-24,2,0,0,0
UK7,2020-03-25,1,0,0,0
UK7,2020-03-28,2,0,0,0
UK7,2020-03-28,2,0,0,0
UK7,2020-03-29,1,0,0,0
UK7,2020-03-30,1,0,0,0
UK7,2020-03-31,1,0,0,0
UK7,2020-04-01,2,0,0,0
UK7,2020-04-01,2,0,0,0
UK7,2020-04-02,2,0,0,0
UK7,2020-04-02,2,0,0,0
UK7,2020-04-03,1,0,0,0
UK7,2020-04-04,1,0,0,0
UK7,2020-04-05,3,0,0,0
UK7,2020-04-05,3,0,0,0
UK7,2020-04-05,3,0,0,0
UK7,2020-04-07,4,0,0,0
UK7,2020-04-07,4,0,0,0
UK7,2020-04-07,4,0,0,0
UK7,2020-04-07,4,0,0,0
UK7,2020-04-08,2,0,0,0
UK7,2020-04-08,2,0,0,0
UK7,2020-04-09,3,0,0,0
UK7,2020-04-09,3,0,0,0
UK7,2020-04-09,3,0,0,0
UK7,2020-04-10,1,0,0,0
UK7,2020-04-11,3,0,0,0
UK7,2020-04-11,3,0,0,0
UK7,2020-04-11,3,0,0,0
UK7,2020-04-12,1,0,0,0
UK7,2020-04-13,1,0,0,0
UK7,2020-04-15,1,0,0,0
UK7,2020-04-20,1,0,0,0
UK7,2020-04-22,1,0,0,0
UK7,2020-04-23,1,0,0,0
UK7,2020-04-28,1,0,0,0
UK7,2020-04-29,1,0,0,0
UK7,2020-04-30,1,0,0,0
UK7,2020-05-01,2,0,0,0
UK7,2020-05-01,2,0,0,0
UK7,2020-05-05,1,0,0,0
UK7,2020-05-09,1,0,0,0
UK7,2020-05-13,1,0,0,0
UK247,2020-04-04,1,0,0,0
UK247,2020-04-17,1,0,0,0
UK247,2020-04-20,1,0,0,0
UK247,2020-04-29,1,0,0,0
UK247,2020-05-12,2,0,0,0
UK247,2020-05-12,2,0,0,0
UK247,2020-05-15,1,0,0,0
UK5,2020-03-22,1,0,0,0
UK5,2020-03-24,4,0,0,0
UK5,2020-03-24,4,0,0,0
UK5,2020-03-24,4,0,0,0
UK5,2020-03-24,4,0,0,0
UK5,2020-03-28,2,0,0,0
UK5,2020-03-28,2,0,0,0
UK5,2020-03-29,2,0,0,0
UK5,2020-03-29,2,0,0,0
UK5,2020-03-30,1,0,0,0
UK5,2020-03-31,1,0,0,0
UK5,2020-04-01,1,0,0,0
UK5,2020-04-02,2,0,0,0
UK5,2020-04-02,2,0,0,0
UK5,2020-04-03,3,0,0,0
UK5,2020-04-03,3,0,0,0
UK5,2020-04-03,3,0,0,0
UK5,2020-04-04,1,0,0,0
UK5,2020-04-05,1,0,0,0
UK5,2020-04-06,1,0,0,0
UK5,2020-04-07,3,0,0,0
UK5,2020-04-07,3,0,0,0
UK5,2020-04-07,3,0,0,0
UK5,2020-04-08,1,0,0,0
UK5,2020-04-10,1,0,0,0
UK5,2020-04-11,1,0,0,0
UK5,2020-04-12,1,0,0,0
UK5,2020-04-17,1,0,0,0
UK5,2020-04-18,1,0,0,0
UK5,2020-04-20,2,0,0,0
UK5,2020-04-20,2,0,0,0
UK5,2020-04-22,3,0,0,0
UK5,2020-04-22,3,0,0,0
UK5,2020-04-22,3,0,0,0
UK5,2020-04-23,4,0,0,0
UK5,2020-04-23,4,0,0,0
UK5,2020-04-23,4,0,0,0
UK5,2020-04-23,4,0,0,0
UK5,2020-04-24,1,0,0,0
UK5,2020-04-25,1,0,0,0
UK5,2020-04-26,1,0,0,0
UK5,2020-04-27,1,0,0,0
UK5,2020-04-28,3,0,0,0
UK5,2020-04-28,3,0,0,0
UK5,2020-04-28,3,0,0,0
UK5,2020-04-29,9,0,0,0
UK5,2020-04-29,9,0,0,0
UK5,2020-04-29,9,0,0,0
UK5,2020-04-29,9,0,0,0
UK5,2020-04-29,9,0,0,0
UK5,2020-04-29,9,0,0,0
UK5,2020-04-29,9,0,0,0
UK5,2020-04-29,9,0,0,0
UK5,2020-04-29,9,0,0,0
UK5,2020-04-30,6,0,0,0
UK5,2020-04-30,6,0,0,0
UK5,2020-04-30,6,0,0,0
UK5,2020-04-30,6,0,0,0
UK5,2020-04-30,6,0,0,0
UK5,2020-04-30,6,0,0,0
UK5,2020-05-01,4,0,0,0
UK5,2020-05-01,4,0,0,0
UK5,2020-05-01,4,0,0,0
UK5,2020-05-01,4,0,0,0
UK5,2020-05-02,4,0,0,0
UK5,2020-05-02,4,0,0,0
UK5,2020-05-02,4,0,0,0
UK5,2020-05-02,4,0,0,0
UK5,2020-05-03,1,0,0,0
UK5,2020-05-04,1,0,0,0
UK5,2020-05-05,3,0,0,0
UK5,2020-05-05,3,0,0,0
UK5,2020-05-05,3,0,0,0
UK5,2020-05-07,3,0,0,0
UK5,2020-05-07,3,0,0,0
UK5,2020-05-07,3,0,0,0
UK5,2020-05-09,1,0,0,0
UK5,2020-05-11,2,0,0,0
UK5,2020-05-11,2,0,0,0
UK5,2020-05-12,1,0,0,0
UK5,2020-05-13,1,0,0,0
UK5,2020-05-15,3,0,0,0
UK5,2020-05-15,3,0,0,0
UK5,2020-05-15,3,0,0,0
UK5,2020-05-16,2,0,0,0
UK5,2020-05-16,2,0,0,0
UK89,2020-03-22,1,0,0,0
UK89,2020-03-23,1,0,0,0
UK89,2020-03-30,3,0,0,0
UK89,2020-03-30,3,0,0,0
UK89,2020-03-30,3,0,0,0
UK89,2020-04-01,1,0,0,0
UK89,2020-04-02,1,0,0,0
UK89,2020-04-04,2,0,0,0
UK89,2020-04-04,2,0,0,0
UK89,2020-04-09,1,0,0,0
UK89,2020-04-11,2,0,0,0
UK89,2020-04-11,2,0,0,0
UK89,2020-05-03,1,0,0,0
UK89,2020-05-17,2,0,0,0
UK89,2020-05-17,2,0,0,0
